name,operator,brand,address,housenumber,street,city,state,postcode,lat,lon,phone,website,opening_hours,fee,access,capacity,max_power_kw,connectors,connector_types,osm_type,osm_id,osm_url
Tesla Supercharger,Tesla,Tesla Supercharger,"815 2nd Avenue East, Kearney, NE 68847",815,2nd Avenue East,Kearney,NE,68847,40.6822264,-99.0832954,,https://www.tesla.com/findus/location/supercharger/KearneyNESupercharger,24/7,yes,yes,8,,Nacs x8,Nacs,node,12103005482,https://www.openstreetmap.org/node/12103005482
Tesla Supercharger,"Tesla, Inc.",Tesla Supercharger,"8801 West Center Road, Omaha, NE 68124",8801,West Center Road,Omaha,NE,68124,41.23364,-96.05243,,https://www.tesla.com/findus/location/supercharger/18635,24/7,yes,customers,12,,Nacs x12,Nacs,node,12944743365,https://www.openstreetmap.org/node/12944743365
Tesla Supercharger,"Tesla, Inc.",Tesla Supercharger,"610 West O Street, Lincoln, NE 68528",610,West O Street,Lincoln,NE,68528,40.81422,-96.72784,,https://www.tesla.com/findus/location/supercharger/18688,24/7,yes,yes,8,,Nacs x8,Nacs,node,12944743976,https://www.openstreetmap.org/node/12944743976
Tesla Supercharger,Tesla,Tesla Supercharger,"202 East Leota Street, North Platte, NE 69101",202,East Leota Street,North Platte,NE,69101,41.1205485,-100.7627735,,https://www.tesla.com/findus/location/supercharger/NorthPlatteNESupercharger,24/7,yes,yes,8,,Nacs x8,Nacs,way,1291539310,https://www.openstreetmap.org/way/1291539310
Think Whole Person GE EVSE,,,"South 71st Plaza, Omaha, Nebraska 68182",,South 71st Plaza,Omaha,Nebraska,68182,41.2360491,-96.0204994,,,,,public,,,,,node,5125391132,https://www.openstreetmap.org/node/5125391132
,,,"East Norfolk Avenue, Norfolk, Nebraska 68701",,East Norfolk Avenue,Norfolk,Nebraska,68701,42.0331433,-97.4031205,,,,,public,2,,CHAdeMO x1; J1772 x1,CHAdeMO; J1772,node,3649885292,https://www.openstreetmap.org/node/3649885292
,,,"West 3rd Street, Wayne, Nebraska 68787",,West 3rd Street,Wayne,Nebraska,68787,42.2317299,-97.01993,,,,,public,2,,J1772 x1; NEMA 5-15 (120V) x1,J1772; NEMA 5-15 (120V),node,3649891545,https://www.openstreetmap.org/node/3649891545
,Woodhouse Nissian,,"Nebraska Drive, Bellevue, Nebraska 68147",,Nebraska Drive,Bellevue,Nebraska,68147,41.1826004,-95.9355147,,,,no,public,2,,CHAdeMO x1; J1772 x1,CHAdeMO; J1772,node,4583079398,https://www.openstreetmap.org/node/4583079398
,Woodhouse Nissian,,"Nebraska Drive, Bellevue, Nebraska 68147",,Nebraska Drive,Bellevue,Nebraska,68147,41.1822406,-95.935803,,,,no,public,2,,CHAdeMO x1; J1772 x1,CHAdeMO; J1772,node,4583080194,https://www.openstreetmap.org/node/4583080194
,,,"1st Avenue, South Sioux City, Nebraska 68776",,1st Avenue,South Sioux City,Nebraska,68776,42.4737281,-96.4140362,,,24/7,no,public,2,,J1772 x1; NEMA 5-20 (120V) x1,J1772; NEMA 5-20 (120V),node,5034948611,https://www.openstreetmap.org/node/5034948611
,,,"Willow Street, South Sioux City, Nebraska 68776",,Willow Street,South Sioux City,Nebraska,68776,42.4637207,-96.4211494,,,24/7,no,public,2,,J1772 x2,J1772,node,5034979156,https://www.openstreetmap.org/node/5034979156
,,,"Myrtle Street, Dakota City, Nebraska 68731",,Myrtle Street,Dakota City,Nebraska,68731,42.4162758,-96.4189513,,,24/7,yes,public,2,,J1772 x2,J1772,node,5034993306,https://www.openstreetmap.org/node/5034993306
,,,"Chandler Road West, Bellevue, Nebraska 68147",,Chandler Road West,Bellevue,Nebraska,68147,41.1853232,-95.9356363,,,,,public,,,,,node,5118562347,https://www.openstreetmap.org/node/5118562347
,,,"Dodge Court, Omaha, Nebraska 68175",,Dodge Court,Omaha,Nebraska,68175,41.2593309,-95.9608724,,,,,public,,,,,node,5470096944,https://www.openstreetmap.org/node/5470096944
,,,"Zoo Parkway, Omaha, Nebraska 68108",,Zoo Parkway,Omaha,Nebraska,68108,41.2253466,-95.9290532,,,,yes,public,4,,J1772 x4,J1772,node,7100292363,https://www.openstreetmap.org/node/7100292363
,Nebraska Dynamics,,"Main Street, Louisville, Nebraska 68037",,Main Street,Louisville,Nebraska,68037,41.0016217,-96.1621352,,,,no,public,1,,J1772 x1,J1772,node,8174600693,https://www.openstreetmap.org/node/8174600693
,,,"Pierce Plaza, Omaha, Nebraska 68154",,Pierce Plaza,Omaha,Nebraska,68154,41.2480518,-96.1012038,,,,,public,,,,,node,8923041094,https://www.openstreetmap.org/node/8923041094
,Electrify America,,"Pony Express Lane, Ogallala, Nebraska 69153",,Pony Express Lane,Ogallala,Nebraska,69153,41.1127323,-101.7186065,,,,,public,8,,CCS Type 1 x7; CHAdeMO x1,CCS Type 1; CHAdeMO,node,9039454312,https://www.openstreetmap.org/node/9039454312
,,,"Abbott Drive, Omaha, Nebraska 68110",,Abbott Drive,Omaha,Nebraska,68110,41.3014094,-95.9017233,,,,,public,,,,,node,9197854351,https://www.openstreetmap.org/node/9197854351
,,,"Frontage Road North, Chadron, Nebraska 69337",,Frontage Road North,Chadron,Nebraska,69337,42.8288862,-103.0209461,,,,no,public,1,,J1772 x1,J1772,node,9370720065,https://www.openstreetmap.org/node/9370720065
,,,"West Talmadge Street, Kearney, Nebraska 68849",,West Talmadge Street,Kearney,Nebraska,68849,40.674216,-99.0934984,,,,,public,,,,,node,9561493243,https://www.openstreetmap.org/node/9561493243
,Electrify America,,"US Highway 281, Hall County, Nebraska 68801",,US Highway 281,Hall County,Nebraska,68801,40.8160097,-98.3793766,,,,yes,yes,5,,CCS x4; CHAdeMO x1,CCS; CHAdeMO,node,9934316771,https://www.openstreetmap.org/node/9934316771
,Electrify America,,"Frontier Street, Lexington, Nebraska 68850",,Frontier Street,Lexington,Nebraska,68850,40.7460188,-99.7415161,,,,,public,5,,CCS x4; CHAdeMO x1,CCS; CHAdeMO,node,10733515514,https://www.openstreetmap.org/node/10733515514
,Electrify America,,"East Leota Street, North Platte, Nebraska 69101",,East Leota Street,North Platte,Nebraska,69101,41.1204139,-100.7594191,,,,,public,5,,CCS x4; CHAdeMO x1,CCS; CHAdeMO,node,10733516199,https://www.openstreetmap.org/node/10733516199
,Electrify America,,"Northwest 20th Street, Lincoln, Nebraska 68528",,Northwest 20th Street,Lincoln,Nebraska,68528,40.8143272,-96.7491285,,,,,public,5,,CCS x4; CHAdeMO x1,CCS; CHAdeMO,node,10733520357,https://www.openstreetmap.org/node/10733520357
,,,"Fort Crook Road North, Bellevue, Nebraska 68147",,Fort Crook Road North,Bellevue,Nebraska,68147,41.1853655,-95.9321709,,,,,public,,,,,node,10992443030,https://www.openstreetmap.org/node/10992443030
,EVOCHARGE,,"North 14th Street, Lincoln, Nebraska 68588",,North 14th Street,Lincoln,Nebraska,68588,40.8203683,-96.7012157,,,,,public,4,,J1772 x2,J1772,node,11927203835,https://www.openstreetmap.org/node/11927203835
,,,"West 4th Street, Chadron, Nebraska 69337",,West 4th Street,Chadron,Nebraska,69337,42.8286946,-103.0170378,,,,,public,,,,,node,12042404221,https://www.openstreetmap.org/node/12042404221
,Electrify America,Electrify America,"West Center Road, Omaha, Nebraska 68130",,West Center Road,Omaha,Nebraska,68130,41.2350537,-96.1940278,,https://www.electrifyamerica.com/locate-charger/ne/omaha/17810-w-center-rd/240091/,,yes,yes,1233,,CCS x4; CHAdeMO x1,CCS; CHAdeMO,node,13869722107,https://www.openstreetmap.org/node/13869722107
